,"ETH / Addresses, active, count","ETH / NVT, adjusted, 90d MA","ETH / NVT, adjusted, free float,  90d MA","ETH / NVT, adjusted","ETH / NVT, adjusted, free float","ETH / Flow, in, to exchanges, USD","ETH / Flow, out, from exchanges, USD","ETH / Fees, transaction, mean, USD","ETH / Fees, transaction, median, USD","ETH / Fees, total, USD","ETH / Miner revenue, USD","ETH / Capitalization, market, free float, USD","ETH / Capitalization, realized, USD","ETH / Capitalization, market, current supply, USD","ETH / Capitalization, market, estimated supply, USD","ETH / Volatility, daily returns, 30d","ETH / Volatility, daily returns, 180d","ETH / Difficulty, last","ETH / Difficulty, mean","ETH / Hash rate, mean","ETH / Revenue, per hash unit, USD","ETH / Block, size, mean, bytes","ETH / Issuance, continuous, percent, daily",ETH / Network distribution factor,"ETH / Transactions, count","ETH / Transactions, transfers, count","ETH / Transactions, transfers, value, mean, USD"
2016-04-05,12303.0,123.57215817268111,119.4005991106474,138.48757027,133.8124955,2536028.746487499,1770006.0494887994,0.0076214387459079,0.0046024721955131,298.5546199935873,329827.67125728825,794606750.6398853,365295287.2058943,822368328.1870236,,0.0869422918342511,0.0880306642932198,26059710715142.0,25705810157076.5,1.79477101265696,2.12698437399,1527.7717553456,0.040070745108067,0.797514499343,39173.0,31011.0,232.81921196330032
2016-04-06,12049.0,125.8530505561189,121.6061778696361,143.83055619,138.97703808,1669552.0813045846,1903953.2961392363,0.0072476035203011,0.0045041111133839,232.48862572430423,335495.53017222066,816841434.4002681,369376648.9445945,845368123.074431,,0.0825738557805492,0.0880291703943345,25913912972977.0,25667142451061.6,1.78388913356863,2.176732872388,1336.77098600933,0.0396588222805484,0.797064605709,32078.0,32121.0,215.0070384207714
2016-04-07,11965.0,117.35200067202638,113.39355835151258,132.43522467,127.96800473,1775537.3951214429,2006293.8409337376,0.0067759044153011,0.0042387724853302,216.1039195172671,314766.76851077523,769035594.266777,369689810.4559888,795881766.8940648,,0.0832426162167774,0.0882058256920695,25331165732156.0,24640313534812.0,1.69821037458113,2.145278317299,1404.41172518058,0.0395222855549003,0.796838071389,31893.0,31756.0,231.3124456699724
2016-04-08,11777.0,112.32571437816732,108.53834824975937,195.78450251,189.18309697,2086060.977912616,1436116.642777155,0.007188763915474,0.0040800868339216,244.48986076538768,310276.4452187157,740555471.8425565,370200515.0811475,766396612.3748378,,0.075449092513641,0.0881252984784036,27706133402612.0,26139886978680.3,1.84638259727381,1.944972058177,1540.88151425762,0.0404532001253571,0.797299166951,34010.0,33873.0,158.51338063795805
2016-04-09,12119.0,103.55829264168584,100.067911611344,66.42538543,64.18655067,2764977.4622823726,2418148.837698365,0.0057061973002947,0.0038257087590648,182.1589364173714,281768.840802008,694666209.0008796,370066011.12067175,718896251.5717022,,0.0756377146423182,0.088287297267696,26520399158286.0,26843451780218.7,1.84355657906613,1.76897930459,1317.79049384797,0.039169307288773,0.797338486308,31923.0,31726.0,376.8677263397247
2016-04-10,12983.0,99.58693101465232,96.23175355028188,80.65545695,77.93809867,3665406.9899637294,2919226.2274790267,0.0053519389295801,0.0037261656280888,172.53045527293176,282067.7727543823,676873218.3116882,370506896.751784,700472806.6443341,,0.0757191959783357,0.0882235724984663,27664125672752.0,27083828046070.1,1.90134561955301,1.717033064476,1280.92135201979,0.0402435668630091,0.796773917465,32237.0,31970.0,334.4723921105208
2016-04-11,12213.0,97.05079415704866,93.78234361917195,145.26334068,140.37120097,1469431.350031057,1618058.8396901072,0.0053491305503764,0.0036520078204558,162.22308220128636,269462.4753604159,663671449.6621776,370214099.3453786,686801361.1456257,,0.0671783951901183,0.0865035622247744,26376649499074.0,27012246684282.9,1.85609918412168,1.680286633756,1261.85514569648,0.0392107918698655,0.796826474187,30327.0,30123.0,181.94259124006888
2016-04-12,12764.0,82.86926252330206,80.07952232962631,88.33011234,85.35653616,2256442.346109365,2844417.785469517,0.0049513956222081,0.0031478849529047,171.67974040890087,235408.1568572147,572293532.2896525,368021994.818415,592230592.6412034,,0.0692418916417906,0.0868069923737227,26615341237104.0,26095428773644.8,1.8168315425411,1.499661020469,1451.45868661679,0.0397204197216001,0.79646409831,34673.0,32494.0,254.21895395248296
2016-04-13,13109.0,88.01702880371784,85.05517259934211,85.51461861,82.63697088,2803425.832546418,2515636.2357478933,0.0073572025051571,0.0033919509525676,265.2345075134696,253584.2233309144,614578388.0166637,369883119.6114072,635979706.1962999,,0.0666424515793583,0.0867069159105192,26698904370237.0,27243186215275.0,1.89678531453222,1.547356236028,1477.32718204489,0.0398313006461267,0.796461892403,36051.0,31519.0,295.3064433118924
2016-04-14,12455.0,91.64360309488872,88.56093379065248,90.64519597,87.59611067,3534687.4364544125,1419815.227696249,0.0077137422776893,0.0035514520756165,268.2916701604553,265790.8620869908,646194830.841475,339737321.3458157,668687874.7190388,,0.0663631009691444,0.086733313138552,27740433945177.0,27545262683292.6,1.91939718904797,1.602733995632,1405.60787244644,0.0397079983734406,0.79679088275,34781.0,31836.0,251.36173997637485
2016-04-15,11977.0,88.53934969789702,85.56229461534421,158.07542818,152.76028572,845753.6571418694,1517711.7132604637,0.005490830128542,0.0034484402456458,191.95393046377376,260741.6277582881,627712142.3621936,336561324.7824698,649552763.0725269,,0.0663844223342457,0.0867162014125636,28698213125810.0,28306534530571.2,1.98549198404715,1.519947165799,1412.21917808219,0.0401121646523937,0.795972308088,34959.0,30951.0,156.94216798187446
2016-04-16,12022.0,92.10560616752818,89.009872809515,211.9230271,204.80014705,439309.3387574784,1365437.6414867614,0.0048447630333097,0.0036010847842197,147.68291154440294,270496.97958399483,655768047.8821809,341429273.4389048,678575439.4317964,,0.062823222620801,0.0867180124458844,28634353416539.0,28880936928077.9,2.01207995315142,1.555977968776,1215.2877554411,0.0398407134951461,0.795799684197,30483.0,30232.0,123.40059974042424
2016-04-17,12623.0,99.81552758616562,96.46199313887558,114.78172839,110.92536967,2143889.0063574314,1829560.220821796,0.0070168716505573,0.0039221710297486,282.09929096745225,294439.0899580867,714532947.1766688,340208125.5943398,739373931.4245359,,0.0650734961982637,0.0862104260054656,29320358434882.0,28221429752158.8,1.9650084925785,1.734272320119,1917.37639235245,0.0397846039960285,0.795506215027,40203.0,31868.0,242.10914929730063
2016-04-18,12628.0,95.58878717912746,92.37855182585211,149.4104933,144.39272018,1163602.3531193363,1405318.7305428472,0.0053899436110436,0.003774577180187,180.6331802369687,286538.762447216,687930965.2737063,340450520.2130659,711837167.1104457,,0.0651707873916025,0.0861786558472005,30362547693219.0,29523844031977.6,2.06929415311652,1.602682178685,1350.94830718415,0.0402280384472463,0.794977966553,33513.0,33270.0,172.76432448556426
2016-04-19,12548.0,92.767335397296,89.6530868337243,233.57527602,225.73403034,940681.941616376,821834.423972513,0.0051229674227725,0.0036739704327177,167.12144326573457,274197.75092822604,669869035.7159407,340246378.00213355,693138046.9227564,,0.0651911281765472,0.0842483415288575,29405002460165.0,30029498659251.1,2.07471606022633,1.529647907503,1317.15630758921,0.0395347839729102,0.794348493078,32622.0,32397.0,112.55065515017704
2016-04-20,12843.0,89.72220863987724,86.71139609457849,152.27704998,147.16708156,1705201.0331695578,1659374.561631948,0.0061568969196711,0.0035721366295967,202.83281212170945,270931.7190911676,651572573.3988111,340494038.39268905,674196622.4456286,,0.0588079096026483,0.0842993052505883,30539452606524.0,30156012963421.4,2.11202772309203,1.484726621479,1359.21619834711,0.0401557761142416,0.794726298451,32944.0,32338.0,179.01135551627343
2016-04-21,13765.0,85.78567185827669,82.9080967752567,201.82953898,195.05941479,990767.0807420588,1045452.8911560596,0.0066609004410106,0.0034237632094681,247.658939297339,256002.00645370883,624764399.0107453,340541630.919669,646448728.2533369,,0.0587258147528112,0.0843771035725196,30074659552686.0,30871752725767.4,2.14006513194769,1.384530845148,1504.17512520868,0.0395629748093779,0.794403672826,37181.0,32025.0,121.08865803138572
